timestep,episode_num,score,steps,survival_time,lines_cleared,single_clears,double_clears,triple_clears,tetris_clears,total_pieces,piece_I,piece_O,piece_T,piece_L,piece_J,piece_S,piece_Z,actions_taken,rotations,left_moves,right_moves,soft_drops,hard_drops,no_ops,invalid_actions,holes_created,max_height,avg_height,total_bumpiness,wells_created,coverage,max_combo,unique_states,state_revisits,lines_per_piece,score_per_piece,invalid_action_rate,tetris_rate
420,0,0,105,105,0,0,0,0,0,13,2,2,2,2,2,1,2,105,12,17,23,24,9,20,6,61,20,11.300000190734863,39,1,0.26,0,14,91,0.0,0.0,0.05714285714285714,0.0
3496,1,0,874,874,0,0,0,0,0,20,2,3,3,3,3,3,3,874,70,319,367,43,8,67,182,71,19,15.100000381469727,13,2,0.4,0,21,853,0.0,0.0,0.20823798627002288,0.0
3548,2,0,887,887,0,0,0,0,0,23,4,3,2,3,4,3,4,887,67,352,333,58,8,69,164,78,20,17.0,12,2,0.46,0,24,863,0.0,0.0,0.18489289740698986,0.0
4344,3,0,1086,1086,0,0,0,0,0,23,3,3,3,2,4,4,4,1086,72,421,469,45,8,71,223,75,20,16.69999885559082,10,1,0.46,0,24,1062,0.0,0.0,0.20534069981583794,0.0
6480,4,0,1515,1515,0,0,0,0,0,25,3,4,3,4,4,3,4,1515,91,675,624,25,9,91,321,68,19,16.799999237060547,13,2,0.5,0,26,1489,0.0,0.0,0.21188118811881188,0.0
10300,5,0,1688,1688,0,0,0,0,0,18,2,3,3,2,3,2,3,1688,70,760,715,32,2,109,324,55,19,12.699999809265137,36,2,0.36,0,19,1669,0.0,0.0,0.19194312796208532,0.0
10416,6,0,1730,1730,0,0,0,0,0,18,3,2,3,3,3,3,1,1730,58,829,694,40,1,108,357,68,20,14.0,17,0,0.36,0,19,1711,0.0,0.0,0.20635838150289018,0.0
11728,7,0,1846,1846,0,0,0,0,0,22,4,2,3,3,4,3,3,1846,51,847,807,25,3,113,350,71,20,15.90000057220459,12,1,0.44,0,23,1823,0.0,0.0,0.18959913326110509,0.0
14456,8,0,1994,1994,0,0,0,0,0,22,4,2,3,3,3,4,3,1994,40,849,908,28,1,168,401,69,20,15.700000762939453,23,3,0.44,0,23,1971,0.0,0.0,0.20110330992978936,0.0
16508,9,0,1552,1552,0,0,0,0,0,17,2,2,3,3,2,2,3,1552,24,671,701,20,2,134,314,89,19,15.700000762939453,25,2,0.34,0,18,1534,0.0,0.0,0.20231958762886598,0.0
16748,10,0,1583,1583,0,0,0,0,0,18,3,3,2,2,2,3,3,1583,21,681,687,25,0,169,267,74,20,14.600000381469727,21,1,0.36,0,19,1564,0.0,0.0,0.16866708780795958,0.0
18324,11,0,1649,1649,0,0,0,0,0,20,2,3,3,3,3,3,3,1649,18,730,691,23,1,186,237,104,20,18.5,14,1,0.4,0,21,1628,0.0,0.0,0.14372346876895087,0.0
21728,12,0,1818,1818,0,0,0,0,0,17,2,2,2,3,3,3,2,1818,22,809,822,8,1,156,318,54,19,12.200000762939453,38,2,0.34,0,18,1800,0.0,0.0,0.17491749174917492,0.0
24788,13,0,2010,2010,0,0,0,0,0,19,3,2,3,3,3,3,2,2010,10,953,942,2,0,103,383,76,20,15.199999809265137,25,3,0.38,0,20,1990,0.0,0.0,0.19054726368159203,0.0
24868,14,0,1636,1636,0,0,0,0,0,17,1,3,3,3,2,2,3,1636,8,807,770,4,1,46,254,77,20,14.5,25,2,0.34,0,18,1618,0.0,0.0,0.1552567237163814,0.0
25148,15,0,2160,2160,0,0,0,0,0,21,3,3,4,3,3,2,3,2160,8,1032,1020,6,0,94,370,86,20,17.0,15,1,0.42,0,22,2138,0.0,0.0,0.1712962962962963,0.0
30432,16,0,2176,2176,0,0,0,0,0,19,2,3,3,3,2,3,3,2176,9,1087,1039,13,0,28,337,50,19,12.600000381469727,21,3,0.38,0,20,2156,0.0,0.0,0.15487132352941177,0.0
31380,17,0,1648,1648,0,0,0,0,0,17,2,2,3,3,2,2,3,1648,1,798,827,4,1,17,250,99,20,16.69999885559082,17,3,0.34,0,18,1630,0.0,0.0,0.15169902912621358,0.0
31788,18,0,1660,1660,0,0,0,0,0,17,3,2,3,2,3,1,3,1660,7,735,899,7,0,12,314,62,20,13.0,21,1,0.34,0,18,1642,0.0,0.0,0.1891566265060241,0.0
33596,19,0,2182,2182,0,0,0,0,0,20,2,3,3,3,3,3,3,2182,2,1036,1111,10,1,22,331,69,20,14.899999618530273,15,3,0.4,0,21,2161,0.0,0.0,0.15169569202566452,0.0
37428,20,0,1410,1410,0,0,0,0,0,15,2,1,2,3,3,2,2,1410,8,707,680,6,0,9,172,81,20,14.09999942779541,23,0,0.3,0,16,1394,0.0,0.0,0.12198581560283688,0.0
40384,21,0,2488,2488,0,0,0,0,0,21,4,3,3,3,3,2,3,2488,7,1259,1211,1,0,10,475,67,20,15.100000381469727,24,2,0.42,0,22,2466,0.0,0.0,0.19091639871382637,0.0
40660,22,0,2320,2320,0,0,0,0,0,24,4,3,3,4,4,3,3,2320,17,1086,1196,8,0,13,454,84,19,18.0,9,0,0.48,0,25,2295,0.0,0.0,0.1956896551724138,0.0
40916,23,0,1830,1830,0,0,0,0,0,21,3,2,3,3,4,3,3,1830,15,874,920,12,1,8,348,96,20,18.0,7,1,0.42,0,22,1808,0.0,0.0,0.1901639344262295,0.0
44668,24,0,938,938,0,0,0,0,0,13,2,2,2,2,2,2,1,938,11,498,414,5,2,8,160,101,20,15.299999237060547,22,2,0.26,0,14,924,0.0,0.0,0.17057569296375266,0.0
45180,25,0,1938,1938,0,0,0,0,0,20,3,3,3,3,2,3,3,1938,37,929,941,7,0,24,301,81,20,16.100000381469727,28,2,0.4,0,21,1917,0.0,0.0,0.15531475748194015,0.0
49544,26,0,2290,2290,0,0,0,0,0,24,3,4,4,2,3,4,4,2290,88,1096,1055,24,1,26,399,60,20,15.59999942779541,18,0,0.48,0,25,2265,0.0,0.0,0.17423580786026202,0.0
50348,27,0,2422,2422,0,0,0,0,0,22,3,4,3,3,4,3,2,2422,80,1123,1180,19,1,19,395,51,20,13.899999618530273,29,2,0.44,0,23,2399,0.0,0.0,0.16308835672997524,0.0
51140,28,0,1490,1490,0,0,0,0,0,16,1,2,3,3,2,3,2,1490,52,704,704,10,0,20,150,83,20,14.700000762939453,13,1,0.32,0,17,1473,0.0,0.0,0.10067114093959731,0.0
54296,29,0,2407,2407,0,0,0,0,0,25,4,3,4,4,3,3,4,2407,52,1164,1155,21,0,15,464,69,20,16.900001525878906,17,1,0.5,0,26,2381,0.0,0.0,0.1927710843373494,0.0
59284,30,0,2234,2234,0,0,0,0,0,23,3,4,4,2,3,3,4,2234,56,1066,1103,4,1,4,431,73,20,16.5,15,2,0.46,0,24,2210,0.0,0.0,0.19292748433303492,0.0
59392,31,0,2462,2462,0,0,0,0,0,24,3,3,3,4,3,4,4,2462,47,1286,1116,8,0,5,376,70,20,16.600000381469727,30,4,0.48,0,25,2437,0.0,0.0,0.15272136474411047,0.0
59500,32,0,2090,2090,0,0,0,0,0,22,4,4,3,3,2,3,3,2090,48,1074,964,1,0,3,315,79,20,16.69999885559082,26,2,0.44,0,23,2067,0.0,0.0,0.1507177033492823,0.0
63176,33,0,2220,2220,0,0,0,0,0,22,4,3,2,3,3,3,4,2220,45,1075,1091,4,0,5,294,74,20,16.200000762939453,21,3,0.44,0,23,2197,0.0,0.0,0.13243243243243244,0.0
65276,34,0,1444,1444,0,0,0,0,0,14,2,2,1,2,2,3,2,1444,15,755,669,5,0,0,184,85,19,14.09999942779541,23,2,0.28,0,15,1429,0.0,0.0,0.12742382271468145,0.0
66888,35,0,1874,1874,0,0,0,0,0,19,2,3,3,2,3,3,3,1874,29,890,938,9,1,7,209,62,19,13.800000190734863,28,1,0.38,0,20,1854,0.0,0.0,0.11152614727854857,0.0
68752,36,0,2367,2367,0,0,0,0,0,25,4,4,3,2,4,4,4,2367,24,1205,1125,9,0,4,230,69,20,16.900001525878906,21,1,0.5,0,26,2341,0.0,0.0,0.09716941275876637,0.0
70776,37,0,1900,1900,0,0,0,0,0,17,3,2,2,2,3,2,3,1900,25,930,924,13,0,8,284,40,19,10.800000190734863,28,1,0.34,0,18,1882,0.0,0.0,0.14947368421052631,0.0
