timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
24,0,-38.0,6,False,FOCUS,6,1
24,1,-29.8,6,False,TOUGH,6,1
24,2,-21.2,6,False,SMOKE,6,1
24,3,-2.1,6,False,MIGHT,6,1
48,4,-32.5,6,False,SHIFT,6,1
48,5,-8.3,6,False,CRUDE,6,1
48,6,-26.1,6,False,GREAT,6,2
48,7,-22.2,6,False,BOARD,6,1
72,8,4.2,6,False,SPENT,6,1
72,9,-4.1,6,False,TEARS,6,1
72,10,-32.5,6,False,TRUCK,6,2
72,11,-61.9,6,False,BROWN,6,3
96,12,-21.1,6,False,SHEET,6,1
96,13,-19.4,6,False,TRIED,6,1
96,14,-25.4,6,False,DOZEN,6,2
96,15,-53.2,6,False,LIVES,6,1
120,16,-45.0,6,False,ROBIN,6,1
120,17,-44.7,6,False,RIGHT,6,1
120,18,-40.4,6,False,BLOCK,6,1
120,19,-31.3,6,False,CARGO,6,1
144,20,-20.5,6,False,SHAPE,6,1
144,21,-42.3,6,False,GREEN,6,1
144,22,-23.8,6,False,SMILE,6,1
144,23,-36.0,6,False,TABLE,6,1
168,24,-35.9,6,False,TRULY,6,1
168,25,-25.6,6,False,HENCE,6,1
168,26,-15.9,6,False,STARE,6,1
168,27,-33.4,6,False,SCENE,6,1
192,28,-26.3,6,False,WATER,6,2
192,29,-8.8,6,False,TRIBE,6,1
192,30,-48.6,6,False,THICK,6,1
192,31,-39.7,6,False,INDEX,6,1
216,32,-24.4,6,False,TRAIN,6,1
216,33,-46.6,6,False,UNION,6,1
216,34,-40.7,6,False,CLIMB,6,1
216,35,-31.9,6,False,BOATS,6,1
240,36,-36.9,6,False,RADIO,6,1
240,37,-29.1,6,False,TAKEN,6,1
240,38,-15.6,6,False,POINT,6,1
240,39,-50.3,6,False,HAPPY,6,1
264,40,-27.3,6,False,LOCAL,6,1
264,41,-8.6,6,False,GIANT,6,1
264,42,-13.4,6,False,LARGE,6,1
264,43,-38.9,6,False,OFFER,6,2
288,44,-21.0,6,False,GRASS,6,1
288,45,-27.9,6,False,CHAIR,6,1
288,46,-23.5,6,False,CLOTH,6,1
288,47,-43.0,6,False,RURAL,6,1
312,48,-47.0,6,False,TABLE,6,1
312,49,-22.1,6,False,FRONT,6,1
312,50,-12.9,6,False,DRAFT,6,1
312,51,-9.7,6,False,SHIRT,6,1
336,52,-54.1,6,False,JOINT,6,2
336,53,-46.9,6,False,PEACE,6,1
336,54,-30.3,6,False,USAGE,6,1
336,55,-37.7,6,False,EARTH,6,1
360,56,-29.2,6,False,THIRD,6,1
360,57,-11.0,6,False,BLAME,6,1
360,58,-15.8,6,False,WHOLE,6,1
360,59,-26.2,6,False,MOUSE,6,1
384,60,-28.1,6,False,OCEAN,6,1
384,61,-44.5,6,False,FORTY,6,1
384,62,-24.1,6,False,TWICE,6,1
384,63,-31.9,6,False,AROSE,6,1
408,64,-7.7,6,False,LEVEL,6,1
408,65,-35.6,6,False,BLIND,6,1
408,66,-24.3,6,False,WASTE,6,1
408,67,-24.3,6,False,DRAMA,6,1
428,68,166.9,5,False,WORST,5,1
432,69,-38.6,6,False,BROKE,6,2
432,70,-9.4,6,False,SLIDE,6,1
432,71,-51.4,6,False,CLOUD,6,3
452,72,-27.8,6,False,TRIES,6,1
456,73,-17.2,6,False,TREND,6,1
456,74,-28.4,6,False,LEARN,6,1
456,75,-30.9,6,False,LABEL,6,2
476,76,-42.6,6,False,LIGHT,6,1
480,77,-34.6,6,False,ROMAN,6,1
480,78,-30.1,6,False,ROYAL,6,1
480,79,-27.7,6,False,SPEAK,6,1
500,80,-17.8,6,False,ALONE,6,1
504,81,-41.4,6,False,COULD,6,2
504,82,-23.0,6,False,MOUSE,6,1
504,83,-12.6,6,False,TRIES,6,1
524,84,-31.5,6,False,TRAIN,6,1
528,85,-10.1,6,False,TREAT,6,1
528,86,-36.7,6,False,PLAIN,6,1
528,87,-5.4,6,False,ALONE,6,1
548,88,-25.2,6,False,TRUNK,6,1
552,89,-57.1,6,False,MIGHT,6,3
552,90,-19.9,6,False,MEANT,6,1
552,91,-30.5,6,False,GRASS,6,1
572,92,-54.8,6,False,WROTE,6,1
576,93,-15.8,6,False,WORLD,6,1
576,94,-33.5,6,False,MAGIC,6,1
576,95,-57.1,6,False,FIFTY,6,5
596,96,-43.9,6,False,CLAIM,6,1
600,97,-20.9,6,False,POUND,6,3
600,98,-28.2,6,False,NOTED,6,1
600,99,-9.4,6,False,ORDER,6,1
620,100,-8.0,6,False,CLASS,6,1
624,101,-20.8,6,False,PRINT,6,1
624,102,-25.5,6,False,LEASE,6,1
624,103,-34.0,6,False,TAKEN,6,1
644,104,-13.2,6,False,BREED,6,1
648,105,-56.7,6,False,BOOKS,6,1
648,106,-18.3,6,False,TRIAL,6,1
648,107,-17.9,6,False,LUNCH,6,1
668,108,-35.0,6,False,INDEX,6,1
672,109,-38.1,6,False,WOMEN,6,1
672,110,-17.4,6,False,VOICE,6,1
672,111,-20.2,6,False,CREAM,6,1
692,112,-39.7,6,False,BEACH,6,1
696,113,-29.4,6,False,ASIDE,6,1
696,114,-35.0,6,False,LOGIC,6,1
696,115,-16.9,6,False,AROSE,6,1
716,116,-31.6,6,False,ORDER,6,2
720,117,-26.3,6,False,PANEL,6,1
720,118,-45.5,6,False,LIVES,6,1
720,119,-29.6,6,False,OFTEN,6,1
740,120,-29.7,6,False,OFTEN,6,1
744,121,-39.0,6,False,EVENT,6,1
744,122,-36.8,6,False,MARIA,6,1
744,123,-39.6,6,False,TOPIC,6,1
764,124,-12.3,6,False,BONES,6,1
768,125,-31.0,6,False,GRADE,6,1
768,126,-33.1,6,False,PITCH,6,1
768,127,-28.7,6,False,HOTEL,6,1
788,128,-22.6,6,False,ORDER,6,1
792,129,-46.1,6,False,GOING,6,2
792,130,-40.5,6,False,MOUTH,6,1
792,131,-9.8,6,False,SLANT,6,1
812,132,-43.2,6,False,NOTED,6,1
816,133,-42.4,6,False,LOOSE,6,2
816,134,-36.1,6,False,LYING,6,1
816,135,-9.4,6,False,PETER,6,1
836,136,-14.8,6,False,WHERE,6,1
840,137,-28.2,6,False,THREE,6,1
840,138,-41.9,6,False,NOISE,6,1
840,139,-34.3,6,False,CHILD,6,1
860,140,-25.5,6,False,SCALE,6,1
864,141,-24.3,6,False,MEANT,6,1
864,142,-41.2,6,False,YOUNG,6,1
864,143,-32.6,6,False,OCEAN,6,1
884,144,-29.4,6,False,THREW,6,1
