train/learning_rate,train/policy_loss,train/entropy_loss,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/value_loss,time/fps,time/total_timesteps,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,-113.9104232788086,-6.220816135406494,100,-24.85,5.97,99,0.09461164474487305,3683.671142578125,743,2000,2,,
0.0003,-139.07354736328125,-6.215583801269531,200,-28.629,6.0,199,0.13229906558990479,3067.914306640625,759,4000,5,,
0.0003,-120.7127914428711,-6.217791557312012,300,-27.172000000000004,5.98,299,0.213864266872406,2853.611083984375,764,6000,7,,
0.0003,29.353816986083984,-6.199518203735352,400,-26.738000000000003,6.0,399,0.12498778104782104,2287.040283203125,771,8000,10,,
0.0003,-241.89144897460938,-6.186195373535156,500,-24.592,5.95,499,0.3675556182861328,3297.533935546875,774,10000,12,,
0.0003,-94.34626007080078,-6.173337936401367,600,-28.193,5.95,599,0.31654947996139526,2055.13330078125,777,12000,15,,
0.0003,-231.01986694335938,-6.151285648345947,700,-24.456,5.96,699,0.45062822103500366,2820.33349609375,773,14000,18,,
0.0003,-118.56587982177734,-6.158901214599609,800,-27.24,6.0,799,0.3973962664604187,2020.2572021484375,766,16000,20,,
0.0003,-84.281005859375,-6.14313268661499,900,-26.601999999999997,5.99,899,0.3510867953300476,1892.4505615234375,766,18000,23,,
0.0003,-132.52694702148438,-6.146649360656738,,,,999,0.41709887981414795,1968.67578125,,20000,,-81.55799978256226,6.0
,,,1000,-29.886,6.0,,,,757,20000,26,,
0.0003,-235.29995727539062,-6.140533924102783,1100,-25.926000000000002,5.95,1099,0.5423943996429443,2288.18115234375,760,22000,28,,
0.0003,-38.403377532958984,-6.150332927703857,1200,-28.21,5.97,1199,0.4001361131668091,1291.96533203125,763,24000,31,,
0.0003,-145.67501831054688,-6.125211715698242,1300,-29.154000000000007,5.96,1299,0.5325171947479248,1728.772705078125,765,26000,33,,
0.0003,-218.4258270263672,-6.121370792388916,1400,-33.216,6.0,1399,0.6025491952896118,2023.5279541015625,766,28000,36,,
0.0003,-144.55096435546875,-6.122220039367676,1500,-26.923000000000002,5.95,1499,0.5035910606384277,1591.803466796875,768,30000,39,,
0.0003,-122.104736328125,-6.111006259918213,1600,-32.763,6.0,1599,0.49024832248687744,1493.070068359375,769,32000,41,,
0.0003,-194.45399475097656,-6.090582847595215,1700,-28.453000000000007,6.0,1699,0.6576194763183594,1721.0394287109375,770,34000,44,,
0.0003,-206.97366333007812,-6.068953514099121,1800,-26.869,5.97,1799,0.7872123718261719,1643.0712890625,773,36000,46,,
0.0003,-77.37588500976562,-6.077234745025635,1900,-28.486,5.97,1899,0.5311840772628784,964.5276489257812,775,38000,49,,
0.0003,-179.96385192871094,-6.049797534942627,,,,1999,0.7530069351196289,1236.6407470703125,,40000,,-84.01999984741211,6.0
,,,2000,-30.140000000000004,5.99,,,,772,40000,51,,
0.0003,10.408613204956055,-6.072381019592285,2100,-28.781,6.0,2099,0.5589603185653687,697.0054321289062,771,42000,54,,
0.0003,-110.60615539550781,-6.049654960632324,2200,-31.045,5.96,2199,0.586306095123291,968.7254638671875,773,44000,56,,
0.0003,-138.32093811035156,-6.084719657897949,2300,-25.555999999999997,5.97,2299,0.7143519520759583,978.2342529296875,774,46000,59,,
0.0003,-23.75811004638672,-6.047013282775879,2400,-30.981000000000005,6.0,2399,0.6271834969520569,661.09130859375,775,48000,61,,
0.0003,-154.71646118164062,-6.012511253356934,2500,-26.653,5.98,2499,0.8009064197540283,827.6783447265625,777,50000,64,,
0.0003,-130.42788696289062,-6.0368757247924805,2600,-24.866999999999994,5.91,2599,0.7835009098052979,761.6299438476562,778,52000,66,,
0.0003,0.9053786993026733,-6.047416687011719,2700,-30.313,6.0,2699,0.6366664171218872,523.6612548828125,779,54000,69,,
0.0003,-110.0514907836914,-6.017628192901611,2800,-28.659000000000002,6.0,2799,0.758388340473175,640.066650390625,777,56000,72,,
0.0003,-61.3755989074707,-5.989620208740234,2900,-32.128,6.0,2899,0.7206175327301025,438.1551818847656,775,58000,74,,
0.0003,-111.02848815917969,-6.003140926361084,,,,2999,0.8105390071868896,571.8555908203125,,60000,,-86.43999985933304,6.0
,,,3000,-30.026999999999997,5.96,,,,770,60000,77,,
0.0003,66.84855651855469,-6.034206390380859,3100,-25.855,5.94,3099,0.2911570072174072,3283.32177734375,720,62000,86,,
0.0003,-39.59053039550781,-6.009861946105957,3200,-28.331999999999997,6.0,3199,0.739324688911438,286.96148681640625,689,64000,92,,
