timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
24,0,-15.25,6,False,FOCUS,6,1
24,1,-7.7,6,False,TOUGH,6,1
24,2,-2.05,6,False,SMOKE,6,1
24,3,18.6,6,False,MIGHT,6,1
48,4,-12.0,6,False,SHIFT,6,1
48,5,12.8,6,False,CRUDE,6,1
48,6,-5.4,6,False,GREAT,6,1
48,7,-1.3,6,False,BOARD,6,1
72,8,21.8,6,False,SPENT,6,1
72,9,12.85,6,False,TEARS,6,1
72,10,-9.25,6,False,TRUCK,6,2
72,11,-33.1,6,False,BROWN,6,3
96,12,0.85,6,False,SHEET,6,1
96,13,-1.6,6,False,TRIED,6,1
96,14,-1.85,6,False,DOZEN,6,2
96,15,-36.2,6,False,LIVES,6,1
120,16,-29.15,6,False,ROBIN,6,1
120,17,-21.3,6,False,RIGHT,6,1
120,18,-14.35,6,False,BLOCK,6,1
120,19,-7.45,6,False,CARGO,6,1
144,20,-2.75,6,False,SHAPE,6,1
144,21,-18.95,6,False,GREEN,6,1
144,22,-2.45,6,False,SMILE,6,1
144,23,-14.5,6,False,TABLE,6,1
168,24,-14.35,6,False,TRULY,6,1
168,25,-0.9,6,False,HENCE,6,1
168,26,1.9,6,False,STARE,6,1
168,27,-9.1,6,False,SCENE,6,1
192,28,-3.95,6,False,WATER,6,2
192,29,9.8,6,False,TRIBE,6,1
192,30,-24.65,6,False,THICK,6,1
192,31,-16.55,6,False,INDEX,6,1
216,32,-3.85,6,False,TRAIN,6,1
216,33,-21.9,6,False,UNION,6,1
216,34,-16.8,6,False,CLIMB,6,1
216,35,-6.1,6,False,BOATS,6,1
240,36,-18.05,6,False,RADIO,6,3
240,37,-10.15,6,False,TAKEN,6,1
240,38,5.1,6,False,POINT,6,1
240,39,-25.7,6,False,HAPPY,6,1
264,40,-6.2,6,False,LOCAL,6,1
264,41,13.1,6,False,GIANT,6,1
264,42,2.9,6,False,LARGE,6,1
264,43,-16.35,6,False,OFFER,6,2
288,44,2.5,6,False,GRASS,6,1
288,45,-4.35,6,False,CHAIR,6,1
288,46,-2.25,6,False,CLOTH,6,1
288,47,-21.25,6,False,RURAL,6,1
312,48,-33.65,6,False,TABLE,6,1
312,49,0.1,6,False,FRONT,6,1
312,50,5.4,6,False,DRAFT,6,1
312,51,8.95,6,False,SHIRT,6,1
336,52,-28.4,6,False,JOINT,6,2
336,53,-21.6,6,False,PEACE,6,1
336,54,-8.7,6,False,USAGE,6,1
336,55,-18.3,6,False,EARTH,6,1
360,56,-10.3,6,False,THIRD,6,1
360,57,14.0,6,False,BLAME,6,1
360,58,4.05,6,False,WHOLE,6,1
360,59,-5.05,6,False,MOUSE,6,1
384,60,-9.15,6,False,OCEAN,6,1
384,61,-22.0,6,False,FORTY,6,1
384,62,-1.65,6,False,TWICE,6,1
384,63,-11.1,6,False,AROSE,6,1
408,64,15.95,6,False,LEVEL,6,1
408,65,-11.15,6,False,BLIND,6,1
408,66,-1.95,6,False,WASTE,6,1
408,67,-14.35,6,False,DRAMA,6,2
428,68,153.45,5,False,WORST,5,1
432,69,-20.7,6,False,BROKE,6,2
432,70,9.4,6,False,SLIDE,6,1
432,71,-24.6,6,False,CLOUD,6,3
452,72,-11.45,6,False,TRIES,6,1
456,73,-0.55,6,False,TREND,6,1
456,74,-8.85,6,False,LEARN,6,1
456,75,-5.85,6,False,LABEL,6,2
476,76,-18.9,6,False,LIGHT,6,1
480,77,-12.65,6,False,ROMAN,6,1
480,78,-8.65,6,False,ROYAL,6,1
480,79,-9.3,6,False,SPEAK,6,1
500,80,-0.2,6,False,ALONE,6,1
504,81,-15.35,6,False,COULD,6,2
504,82,-0.75,6,False,MOUSE,6,1
504,83,9.35,6,False,TRIES,6,1
524,84,-11.75,6,False,TRAIN,6,1
528,85,10.6,6,False,TREAT,6,1
528,86,-14.3,6,False,PLAIN,6,1
528,87,12.9,6,False,ALONE,6,1
548,88,-3.05,6,False,TRUNK,6,1
552,89,-29.9,6,False,MIGHT,6,3
552,90,0.15,6,False,MEANT,6,1
