train/entropy_loss,time/time_elapsed,train/n_updates,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,time/iterations,train/policy_loss,eval/mean_ep_length,eval/mean_reward
-6.2203850746154785,2,99,0.21524018049240112,541.84521484375,-2.9084999999999996,714,5.97,0.0003,2000,100,-16.752120971679688,,
-6.217003345489502,5,199,0.3298851251602173,346.6690979003906,-7.5889999999999995,741,6.0,0.0003,4000,200,-44.48324203491211,,
-6.217700958251953,7,299,0.4359590411186218,329.6849670410156,-6.118500000000001,756,5.98,0.0003,6000,300,-39.43124008178711,,
-6.203800201416016,10,399,0.04261040687561035,1124.54541015625,-5.5005,769,6.0,0.0003,8000,400,36.21367263793945,,
-6.192781448364258,12,499,0.6770910024642944,289.8741455078125,-3.4395,774,5.95,0.0003,10000,500,-77.51935577392578,,
-6.183579444885254,15,599,0.48407185077667236,194.3977508544922,-6.6435,772,5.95,0.0003,12000,600,-15.504966735839844,,
-6.1657395362854,18,699,0.7012423276901245,177.8317413330078,-2.7344999999999997,777,5.96,0.0003,14000,700,-53.486183166503906,,
-6.169022560119629,20,799,0.6323615312576294,158.830322265625,-7.626500000000001,775,6.0,0.0003,16000,800,-19.63071060180664,,
-6.155500411987305,23,899,0.7377495765686035,173.0760498046875,-9.0565,768,6.0,0.0003,18000,900,-68.53651428222656,,
-6.169739246368408,,999,0.6688335537910461,91.60693359375,,,,0.0003,20000,,7.934916019439697,6.0,-103.54000001907349
,26,,,,-6.400499999999999,755,5.98,,20000,1000,,,
-6.159735679626465,28,1099,0.7316726446151733,84.83007049560547,-5.663499999999999,759,6.0,0.0003,22000,1100,-7.782508850097656,,
-6.147482872009277,31,1199,0.78900545835495,86.18928527832031,-6.139499999999999,759,5.9,0.0003,24000,1200,-27.451801300048828,,
-6.14376974105835,34,1299,0.6764129400253296,65.71315002441406,-5.294,760,6.0,0.0003,26000,1300,-28.75057029724121,,
-6.15523624420166,36,1399,0.8137137293815613,24.323915481567383,-9.347499999999998,761,6.0,0.0003,28000,1400,-6.003629207611084,,
-6.136631965637207,39,1499,0.5710346102714539,106.24317932128906,-9.074499999999999,761,6.0,0.0003,30000,1500,-6.433372497558594,,
-6.121156215667725,41,1599,0.8904100656509399,27.78290367126465,-6.411999999999999,763,5.94,0.0003,32000,1600,-11.095003128051758,,
-6.113602638244629,44,1699,0.8248929381370544,24.859107971191406,-3.3905000000000003,766,6.0,0.0003,34000,1700,-6.728360176086426,,
-6.094560146331787,46,1799,0.8728227615356445,36.44596481323242,-7.4685000000000015,770,6.0,0.0003,36000,1800,-16.257144927978516,,
-6.079931735992432,49,1899,0.7712215185165405,42.25101089477539,-8.0385,772,5.98,0.0003,38000,1900,1.6802759170532227,,
-6.071845054626465,,1999,0.6960398554801941,91.73481750488281,,,,0.0003,40000,,29.035503387451172,6.0,-102.92200000762939
