timestep,episode_num,score,steps,survival_time,lines_cleared,single_clears,double_clears,triple_clears,tetris_clears,total_pieces,piece_I,piece_O,piece_T,piece_L,piece_J,piece_S,piece_Z,actions_taken,rotations,left_moves,right_moves,soft_drops,hard_drops,no_ops,invalid_actions,holes_created,max_height,avg_height,total_bumpiness,wells_created,coverage,max_combo,unique_states,state_revisits,lines_per_piece,score_per_piece,invalid_action_rate,tetris_rate
272,0,0,68,68,0,0,0,0,0,15,3,3,1,2,2,2,2,68,14,9,10,11,14,10,0,60,20,12.0,40,1,0.3,0,16,52,0.0,0.0,0.0,0.0
324,1,0,81,81,0,0,0,0,0,13,2,2,2,2,2,1,2,81,14,12,15,17,13,10,0,60,20,11.199999809265137,40,2,0.26,0,14,67,0.0,0.0,0.0,0.0
344,2,0,86,86,0,0,0,0,0,13,2,2,2,1,2,2,2,86,11,16,19,15,13,12,0,55,19,10.700000762939453,36,1,0.26,0,14,72,0.0,0.0,0.0,0.0
368,3,0,92,92,0,0,0,0,0,14,1,3,2,2,2,2,2,92,12,17,16,18,13,16,0,49,20,10.5,40,1,0.28,0,15,77,0.0,0.0,0.0,0.0
556,4,0,58,58,0,0,0,0,0,16,3,3,2,1,3,2,2,58,6,8,9,9,15,11,0,57,20,12.100000381469727,40,2,0.32,0,17,41,0.0,0.0,0.0,0.0
596,5,0,57,57,0,0,0,0,0,11,1,1,2,2,2,1,2,57,13,8,12,9,9,6,0,47,20,9.100000381469727,40,2,0.22,0,12,45,0.0,0.0,0.0,0.0
676,6,0,101,101,0,0,0,0,0,15,1,3,2,2,2,3,2,101,10,22,19,19,13,18,4,47,20,10.700000762939453,40,2,0.3,0,15,86,0.0,0.0,0.039603960396039604,0.0
732,7,0,44,44,0,0,0,0,0,11,1,1,2,2,1,2,2,44,8,7,9,5,11,4,0,29,19,7.300000190734863,38,1,0.22,0,12,32,0.0,0.0,0.0,0.0
812,8,0,117,117,0,0,0,0,0,18,2,3,2,3,2,3,3,117,20,23,23,15,17,19,5,82,19,15.399999618530273,23,2,0.36,0,19,98,0.0,0.0,0.042735042735042736,0.0
932,9,0,84,84,0,0,0,0,0,16,3,2,2,3,3,1,2,84,12,14,12,16,16,14,1,65,19,12.899999618530273,38,2,0.32,0,16,68,0.0,0.0,0.011904761904761904,0.0
976,10,0,41,41,0,0,0,0,0,10,2,1,1,2,2,1,1,41,6,9,4,2,10,10,0,60,19,10.0,38,1,0.2,0,11,30,0.0,0.0,0.0,0.0
1008,11,0,83,83,0,0,0,0,0,15,2,2,2,1,2,3,3,83,14,18,13,14,15,9,0,60,19,12.0,38,2,0.3,0,15,68,0.0,0.0,0.0,0.0
1132,12,0,100,100,0,0,0,0,0,13,2,2,2,2,2,1,2,100,11,19,17,19,13,21,0,58,20,11.0,42,2,0.26,0,14,86,0.0,0.0,0.0,0.0
1168,13,0,48,48,0,0,0,0,0,10,1,2,2,1,2,1,1,48,6,8,6,7,10,11,0,35,19,7.5,38,0,0.2,0,10,38,0.0,0.0,0.0,0.0
1272,14,0,66,66,0,0,0,0,0,14,1,3,2,2,2,2,2,66,5,14,9,11,14,13,0,37,19,9.300000190734863,38,0,0.28,0,15,51,0.0,0.0,0.0,0.0
1292,15,0,90,90,0,0,0,0,0,14,2,2,3,1,2,2,2,90,9,14,24,12,13,18,0,48,20,10.399999618530273,40,1,0.28,0,14,76,0.0,0.0,0.0,0.0
1388,16,0,55,55,0,0,0,0,0,12,2,2,2,2,1,1,2,55,9,13,10,7,11,5,0,52,20,10.0,44,2,0.24,0,13,42,0.0,0.0,0.0,0.0
1464,17,0,83,83,0,0,0,0,0,13,2,2,2,2,1,2,2,83,14,13,16,12,13,15,0,66,20,11.799999237060547,42,2,0.26,0,14,69,0.0,0.0,0.0,0.0
1476,18,0,46,46,0,0,0,0,0,12,1,2,2,2,1,2,2,46,7,5,10,7,11,6,1,36,20,8.399999618530273,40,0,0.24,0,12,34,0.0,0.0,0.021739130434782608,0.0
1604,19,0,83,83,0,0,0,0,0,14,2,2,2,2,1,3,2,83,17,14,9,10,14,19,0,58,20,11.399999618530273,37,2,0.28,0,14,69,0.0,0.0,0.0,0.0
1616,20,0,38,38,0,0,0,0,0,12,2,2,2,0,2,2,2,38,8,4,7,3,12,4,2,52,19,10.0,38,1,0.24,0,13,25,0.0,0.0,0.05263157894736842,0.0
1624,21,0,59,59,0,0,0,0,0,13,2,2,2,2,1,2,2,59,9,9,10,8,12,11,1,43,19,9.5,42,3,0.26,0,13,46,0.0,0.0,0.01694915254237288,0.0
1824,22,0,55,55,0,0,0,0,0,12,2,2,2,1,1,2,2,55,10,7,12,9,11,6,1,45,20,9.300000190734863,40,0,0.24,0,13,42,0.0,0.0,0.01818181818181818,0.0
1896,23,0,105,105,0,0,0,0,0,16,2,2,3,2,2,3,2,105,20,16,18,19,15,17,5,47,20,11.100000381469727,36,1,0.32,0,16,89,0.0,0.0,0.047619047619047616,0.0
