timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
24,0,4.5,6,False,CLEAR,6,1
24,1,-31.4,6,False,PRIME,6,2
24,2,-10.333333,6,False,SUITE,6,1
24,3,-8.166667,6,False,STUCK,6,1
48,4,-4.5,6,False,FIBER,6,1
48,5,4.0,6,False,SLIDE,6,1
48,6,7.5,6,False,TEARS,6,1
48,7,4.833333,6,False,STAGE,6,1
72,8,4.5,6,False,PLACE,6,1
72,9,5.166667,6,False,TREAT,6,1
72,10,0.833333,6,False,HORSE,6,1
72,11,-14.166667,6,False,METAL,6,1
96,12,7.333333,6,False,FRAME,6,1
96,13,11.833333,6,False,SMILE,6,1
96,14,4.833333,6,False,ANGER,6,1
96,15,-6.0,6,False,MIXED,6,2
120,16,-2.333333,6,False,AFTER,6,1
120,17,-1.166667,6,False,VOCAL,6,2
120,18,-2.5,6,False,GRAND,6,1
120,19,-3.666667,6,False,COULD,6,1
144,20,-9.333333,6,False,EXACT,6,1
144,21,-8.333333,6,False,MONEY,6,2
144,22,15.833333,6,False,WATER,6,1
144,23,-18.0,6,False,BALLS,6,3
168,24,5.5,6,False,SUPER,6,1
168,25,-5.166667,6,False,GIANT,6,1
168,26,10.833333,6,False,GUEST,6,1
168,27,3.333333,6,False,START,6,1
192,28,-3.5,6,False,LARGE,6,1
192,29,32.0,6,False,BLAME,6,1
192,30,-7.0,6,False,CAMPS,6,1
192,31,-13.5,6,False,BEACH,6,1
216,32,-35.533333,6,False,WOULD,6,1
216,33,-5.166667,6,False,ENJOY,6,1
216,34,-11.0,6,False,SHOOT,6,1
216,35,18.5,6,False,LASER,6,1
240,36,-6.333333,6,False,PRIDE,6,4
240,37,-6.0,6,False,CIVIL,6,1
240,38,-22.166667,6,False,MOVIE,6,1
240,39,3.0,6,False,NURSE,6,1
264,40,-14.833333,6,False,GROUP,6,1
264,41,-6.5,6,False,POWER,6,1
264,42,1.0,6,False,PLAIN,6,1
264,43,-13.833333,6,False,SLIDE,6,1
288,44,10.666667,6,False,GRASS,6,1
288,45,1.166667,6,False,FAITH,6,1
288,46,-1.5,6,False,WASTE,6,2
288,47,17.0,6,False,DROVE,6,1
312,48,-18.166667,6,False,POUND,6,4
312,49,-13.5,6,False,VOCAL,6,2
312,50,-7.333333,6,False,CHECK,6,1
312,51,-11.5,6,False,PLANE,6,1
336,52,-22.666667,6,False,CHARM,6,1
336,53,-11.833333,6,False,LATER,6,3
336,54,2.5,6,False,CARRY,6,1
336,55,-14.0,6,False,URBAN,6,1
360,56,-11.833333,6,False,TROOP,6,1
360,57,-15.5,6,False,TOUGH,6,1
360,58,-18.0,6,False,FRONT,6,1
360,59,6.833333,6,False,HEART,6,1
384,60,-4.5,6,False,APART,6,1
384,61,4.5,6,False,THIRD,6,1
384,62,-25.666667,6,False,MIGHT,6,1
384,63,-5.333333,6,False,ERROR,6,1
408,64,1.333333,6,False,WRONG,6,1
408,65,-9.333333,6,False,LOCAL,6,3
408,66,-11.666667,6,False,CLOTH,6,1
408,67,-5.833333,6,False,THERE,6,1
432,68,28.333333,6,False,CRATE,6,1
432,69,-21.666667,6,False,MAGIC,6,1
432,70,-2.5,6,False,PROOF,6,1
432,71,-1.666667,6,False,BROKE,6,2
456,72,-2.0,6,False,ARISE,6,2
456,73,-7.166667,6,False,BROWN,6,1
456,74,23.666667,6,False,TRADE,6,1
456,75,-7.0,6,False,FOCUS,6,1
480,76,-0.5,6,False,THINK,6,1
480,77,-9.5,6,False,CHEST,6,1
480,78,-8.5,6,False,SPEAK,6,1
480,79,-15.0,6,False,PHONE,6,1
504,80,3.166667,6,False,STAGE,6,4
504,81,3.0,6,False,BOATS,6,1
504,82,3.0,6,False,PITCH,6,1
504,83,-11.833333,6,False,WHICH,6,1
528,84,-11.0,6,False,FIFTH,6,1
528,85,2.0,6,False,BEACH,6,1
528,86,-4.333333,6,False,CHAIN,6,1
528,87,-4.0,6,False,MONEY,6,1
552,88,9.166667,6,False,CRAFT,6,1
552,89,10.333333,6,False,CLOUD,6,1
552,90,-13.666667,6,False,STORM,6,1
552,91,-9.166667,6,False,STUCK,6,1
576,92,15.5,6,False,SHINE,6,1
576,93,-11.5,6,False,LEWIS,6,1
576,94,-17.333333,6,False,UNITY,6,1
576,95,-2.166667,6,False,CHAIR,6,1
588,96,139.7,3,False,COULD,3,1
600,97,-12.5,6,False,THINK,6,1
600,98,-16.333333,6,False,LEVEL,6,1
600,99,16.666667,6,False,SLIDE,6,1
612,100,-8.0,6,False,WORLD,6,1
624,101,-0.166667,6,False,TEACH,6,1
624,102,-9.333333,6,False,BRING,6,1
624,103,-7.0,6,False,ASSET,6,2
636,104,-0.166667,6,False,UPPER,6,4
648,105,12.333333,6,False,THROW,6,1
648,106,-11.666667,6,False,BANDS,6,1
648,107,1.333333,6,False,LAYER,6,1
660,108,22.833333,6,False,WHITE,6,1
672,109,0.333333,6,False,NOVEL,6,2
672,110,-2.833333,6,False,LINKS,6,1
672,111,2.833333,6,False,CHIEF,6,1
684,112,-7.0,6,False,HENCE,6,1
696,113,0.0,6,False,LEAST,6,1
696,114,-4.166667,6,False,CARDS,6,1
696,115,11.5,6,False,THOSE,6,1
