time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_range,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,eval/mean_ep_length,eval/mean_reward
8192,8,1,-17.3466667,946,6.0,,,,,,,,,,,,
16384,23,2,-15.76233332,689,5.97,0.2,0.0003,10,410.27824941277504,-6.231463909521699,0.149609375,0.016264912,-0.03978272957010631,-0.005734920501708984,253.16448974609375,,
20000,,,,,,0.2,0.0003,20,238.6717630982399,-6.216460031270981,0.22823486328125,0.018465003,-0.05814309931047319,0.09273970127105713,241.63455200195312,6.0,-40.05933338046074
24576,38,3,-19.903666620000003,630,5.96,,,,,,,,,,,,
32768,53,4,-16.167999970000004,616,5.96,0.2,0.0003,30,165.7631296351552,-6.205547384917736,0.2583984375,0.019926015,-0.06924203929947907,0.12968069314956665,34.53261947631836,,
40000,,,,,,0.2,0.0003,40,224.94491511136295,-6.1946462970227,0.22274169921875,0.018018454,-0.06252747321523203,0.09580391645431519,31.38750457763672,6.0,-48.54000005841255
40960,68,5,-18.186666640000002,597,6.0,,,,,,,,,,,,
49152,126,6,-15.465333339999999,389,5.93,0.2,0.0003,50,306.30205772221086,-6.184173414483666,0.1966064453125,0.01716778,-0.05590721624794241,0.0738065242767334,230.4603729248047,,
57344,143,7,-21.739,400,6.0,0.2,0.0003,60,290.9428075015545,-6.170391272753477,0.21812744140625,0.01777421,-0.05828991814951223,0.07405400276184082,46.25791931152344,,
60000,,,,,,0.2,0.0003,70,263.1535272359848,-6.160505114123225,0.23438720703125,0.018492026,-0.06033574679076992,0.09099853038787842,46.14786148071289,6.0,-27.256666670143606
65536,158,8,-15.42133333,414,6.0,,,,,,,,,,,,
73728,173,9,-16.41933328,425,5.95,0.2,0.0003,80,275.5306660965085,-6.145496694743633,0.23660888671875,0.018428933,-0.05993961660351488,0.09339332580566406,277.7926940917969,,
80000,,,,,,0.2,0.0003,90,286.5081806510687,-6.12942925170064,0.229931640625,0.01843875,-0.05897112129932793,0.08242380619049072,21.30747413635254,6.0,-38.29066671907902
81920,188,10,-17.91966665,434,5.95,,,,,,,,,,,,
90112,203,11,-10.21500001,443,5.85,0.2,0.0003,100,358.34177714139224,-6.112570055201649,0.19957275390625,0.016755283,-0.053679478812409795,0.07797610759735107,213.56121826171875,,
98304,217,12,-19.44766662,452,5.95,0.2,0.0003,110,269.86451044380664,-6.098592568561434,0.248291015625,0.019204434,-0.06107532552368866,0.08700942993164062,189.74758911132812,,
100000,,,,,,0.2,0.0003,120,262.6507970958948,-6.081144993007183,0.2729248046875,0.020135872,-0.0632603311109051,0.09487783908843994,47.1013069152832,6.0,-25.261333363354208
106496,232,13,-15.305666639999997,458,5.98,,,,,,,,,,,,
